Project_ID,Manager_Experience,Team_Size,Budget_kUSD,Duration_days,Domain,Priority,Risk_Score,Status
P0928,13,19,392.22,284,Marketing,Low,61.81,At Risk
P0929,15,18,306.87,133,Marketing,High,24.82,On Schedule
P0930,4,14,850.58,106,HR,Low,66.76,Delayed
P0931,13,10,347.68,259,HR,Medium,40.67,At Risk
P0932,20,5,799.49,287,HR,Low,57.61,At Risk
P0933,15,18,897.28,293,IT,Medium,63.8,At Risk
P0934,8,15,462.13,360,HR,High,59.09,At Risk
P0935,5,10,914.45,211,IT,Low,71.47,Delayed
P0936,15,7,408.45,285,HR,Medium,35.21,At Risk
P0937,4,10,965.87,67,IT,High,48.41,At Risk
P0938,12,14,134.83,205,Operations,High,31.08,On Schedule
P0939,13,3,702.67,56,Operations,Low,33.74,At Risk
P0940,2,8,519.12,305,Marketing,High,48.57,At Risk
P0941,19,20,418.27,169,IT,Medium,47.9,At Risk
P0942,19,10,651.08,328,Finance,High,53.28,At Risk
P0943,4,9,718.66,316,Marketing,High,51.01,At Risk
P0944,4,3,54.15,120,Operations,Medium,28.51,On Schedule
P0945,11,18,208.61,90,IT,High,28.52,On Schedule
P0946,5,14,727.39,192,HR,High,56.49,At Risk
P0947,20,8,683.07,172,Finance,High,30.08,On Schedule
P0948,11,4,967.75,282,Operations,High,49.41,At Risk
P0949,10,16,772.99,298,Marketing,Medium,59.43,At Risk
P0950,8,6,953.23,320,IT,High,50.74,At Risk
P0951,6,3,717.41,216,Finance,Medium,55.31,At Risk
P0952,6,20,333.15,333,IT,High,64.03,At Risk
P0953,8,15,150.1,320,HR,High,41.6,At Risk
P0954,15,4,792.73,115,Marketing,High,20.19,On Schedule
P0955,14,11,661.94,195,IT,High,39.79,At Risk
P0956,11,4,95.78,143,Operations,Medium,28.0,On Schedule
P0957,12,11,392.05,212,Marketing,Medium,38.38,At Risk
P0958,13,3,958.96,236,Operations,Medium,59.49,At Risk
P0959,8,13,525.38,285,IT,Low,63.49,At Risk
P0960,18,5,461.09,264,Marketing,High,23.52,On Schedule
P0961,1,6,484.81,32,Operations,High,31.27,On Schedule
P0962,15,20,248.44,237,HR,Medium,47.78,At Risk
P0963,8,8,400.27,226,HR,Low,52.4,At Risk
P0964,11,5,401.32,154,IT,High,19.78,On Schedule
P0965,12,13,99.74,167,Marketing,Medium,39.72,At Risk
P0966,12,17,779.19,54,Finance,High,42.5,At Risk
P0967,4,7,445.68,97,Marketing,High,26.66,On Schedule
P0968,16,12,831.07,90,HR,Medium,44.26,At Risk
P0969,4,14,857.83,58,Operations,Medium,53.51,At Risk
P0970,5,17,251.39,48,Finance,High,35.23,At Risk
P0971,5,19,674.49,200,IT,High,53.11,At Risk
P0972,8,12,498.67,103,Finance,Medium,48.63,At Risk
P0973,10,8,886.15,90,IT,High,36.38,At Risk
P0974,17,20,254.95,182,Finance,High,38.75,At Risk
P0975,9,15,693.92,305,IT,Medium,61.11,At Risk
P0976,19,5,627.36,77,IT,High,14.66,On Schedule
P0977,14,12,330.54,240,Finance,High,32.84,On Schedule
P0978,8,16,179.77,168,Finance,Low,52.79,At Risk
P0979,9,8,669.06,139,IT,Medium,33.86,At Risk
P0980,11,5,751.67,212,HR,Low,53.61,At Risk
P0981,1,18,349.85,57,Finance,Low,58.02,At Risk
P0982,14,9,662.59,226,Marketing,Low,52.98,At Risk
P0983,5,16,425.37,220,Operations,High,49.64,At Risk
P0984,14,11,727.55,344,IT,High,57.75,At Risk
P0985,4,17,239.25,80,IT,Low,62.23,At Risk
P0986,1,5,895.7,178,Operations,Low,73.73,Delayed
P0987,19,4,323.04,297,HR,Low,39.54,At Risk
P0988,8,4,399.4,79,Operations,High,20.75,On Schedule
P0989,15,5,105.19,275,Finance,Low,48.3,At Risk
P0990,15,20,155.94,142,Operations,Low,41.02,At Risk
P0991,9,16,540.07,199,IT,Medium,52.88,At Risk
P0992,9,20,304.21,195,Operations,Medium,52.25,At Risk
P0993,10,12,843.71,43,Marketing,High,35.04,At Risk
P0994,20,4,63.96,232,Finance,Medium,28.53,On Schedule
P0995,9,3,410.14,317,Operations,Medium,45.11,At Risk
P0996,3,6,370.48,218,IT,Medium,44.57,At Risk
P0997,20,16,68.36,184,Finance,High,27.76,On Schedule
P0998,11,3,168.15,84,IT,Medium,16.66,On Schedule
P0999,6,16,442.96,211,HR,High,50.08,At Risk
P1000,2,18,518.22,239,Marketing,Low,72.1,Delayed
